Word,Translation
deberíamos,we should
haz,make
decirte,tell you
boca,mouth
dolor,pain
adentro,inside
profesor,teacher
habitación,bedroom
daño,hurt
tuyo,yours
seas,Seas.
demás,the rest
querido,Dear
duro,Lasted
poner,put
prueba,proof
mire,Look
tonto,fool
campo,countryside
siendo,being
diez,ten
ése,that
tranquilo,quiet
asunto,affair
acabó,just
quédate,stay
derecho,right
placer,pleasure
recuerda,remember
estuve,was
tratando,trying
ejército,army
futuro,future
llevar,carry
compañía,company
venido,I come
listos,ready
haremos,will
sitio,site
verlo,see him
atención,attention
sino,otherwise
cambiar,change
error,error
raro,rare
palabras,words
llegó,I arrive
sal,Salt
pase,happens
mente,mind
sistema,system
película,film
anda,Anda
ello,it
negocio,business
novia,bride
permiso,Excuse me
creí,I believed.
suena,sounds
ocurre,occurred
oficial,official
espere,Wait
aire,air
regresar,to return
vio,saw
hazlo,do it
trasero,rear
grupo,group
entendido,it is understood
señorita,miss
música,music
perra,bitch
conoce,known
empezar,start
siente,Feel
acabo,finished
estúpido,stupid
diferente,different
traje,costume
encontré,I found
mensaje,message
llamada,call
navidad,Christmas
eras,ages
pena,pain
largo,long
entra,enters
piso,flat
foto,Photo
dijeron,they said
médico,doctor
fuiste,you were
imposible,impossible
podríamos,we could
línea,line
propia,own
barco,boat
ganar,to win
normal,normal
segundos,seconds
vive,it lives
mitad,half
tras,after
decirle,tell him.
lindo,cute
funciona,it works
programa,Program
abre,opens
sean,Sean.
pagar,to pay
fotos,photos
centro,center
supone,Suppose
basura,trash
situación,situation
mejores,top
vienen,they come
encanta,loves
marido,husband
personal,personal
maestro,teacher
hambre,hunger
ataque,attack
culo,ass
dale,Go ahead
pie,foot
conseguir,to get
trabajando,working
gracioso,funny
dejó,let
pudo,he could
derecha,right
izquierda,left
próxima,Next
pobre,poor
respuesta,answer
tipos,types
sentir,feel
tenías,You had
darle,give him
amiga,friend
gustan,like
vista,view
salvo,except
loca,crazy
hotel,hotel
hicieron,they made
ten,Ten.
temo,fear
señal,sign
pelo,hair
llevo,I wear
das,you give
nena,Chick
servicio,service
tren,train
bonito,nice
mes,month
tendrá,will have
tendrás,you will have
edad,age
ellas,they
hermosa,beautifull
honor,honor
simplemente,simply
tengas,You have
corre,run
baja,come down
sol,Sun
siéntate,Sit down
dan,Dan.
humano,human
divertido,funny
sexo,sex
vuelto,turned
peligro,danger
mesa,desk
siguiente,following
hablo,talked
disculpa,Sorry
decirme,tell me
caja,box
negocios,business
misión,mission
silencio,be quiet
sale,comes out
llegado,arrived
estaría,It would
regreso,Return
estan,are
propio,own
oro,gold
enseguida,right away
linda,pretty
prometo,I promise
esposo,husband
norte,North
juro,Juro.
muerta,dead
interesante,interesting
pensaba,thought
busca,seeks
terminar,end up
completamente,completely
cita,appointment
siete,seven
cumpleaños,birthday
abogado,attorney
alrededor,around
porqué,because
santo,holy
hermoso,handsome
edificio,edifice
irnos,weaken
aun,yet
tendremos,we will have
vayas,Vayas.
doy,I give
salió,he left
verdadero,true
pelea,Fight
banco,Bank
calma,Calm down
cena,Dinner
daré,I'll give
gobierno,government
comprar,to buy
creen,Creen.
sargento,sergeant
destino,destiny
hacía,toward
novio,boyfriend
sala,living room
través,through
regalo,present
iglesia,church
decía,He said
cualquiera,any
excelente,Excellent
esperen,Wait
deseo,wish
alma,soul
diablo,Devil
cuántos,how many
estábamos,We were
carne,meat
maravilloso,marvelous
sucedió,It happened
peligroso,dangerous
dirección,address
libertad,Liberty
ocurrió,occurred
veré,I will see
sueños,Dreams
pudiera,I could
detective,detective
sorpresa,surprise
tuya,yours
pies,feet
club,club
terminado,finished
infierno,hell
creía,He believed.
luna,Moon
salvar,save
carta,letter
estés,Bene
cielos,Heavens
teniente,lieutenant
encuentra,find
veamos,let's see
quise,I wanted
escúchame,listen to me
necesitan,Need
decisión,decision
enemigo,enemy
hicimos,we did
dulce,sweet
pruebas,tests
querías,You wanted
abuelo,grandfather
totalmente,totally
mirando,looking
vayan,go
carrera,career
